pattern,stage_effect
hot_theme_without_eps_fcf,block_or_downgrade_green
good_industry_without_company_evidence,block_or_downgrade_green
single_headline_or_mou,block_or_downgrade_green
low_per_low_pbr_without_bodyweight_change,block_or_downgrade_green
price_only_rally,block_or_downgrade_green
one_off_shortage,block_or_downgrade_green
cycle_success_without_supply_discipline,block_or_downgrade_green
event_premium_without_contract_budget_or_revenue,block_or_downgrade_green
pre_revenue_story_without_commercialization,block_or_downgrade_green
hard_redteam_ignored,block_or_downgrade_green
