field,required_for_round182_backfill
ticker,true
company_name,true
event_type,true
event_date,true
event_headline,true
event_source,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_trigger,true
stage2_trigger,true
stage3_trigger,true
stage4b_trigger,true
stage4c_trigger,true
price_at_event,true
price_at_stage1,true
price_at_stage2,true
price_at_stage3,true
price_at_stage4b,true
price_at_stage4c,true
return_1d_after_event,true
return_5d_after_event,true
return_20d_after_event,true
return_60d_after_event,true
return_120d_after_event,true
mfe_5d_after_event,true
mae_5d_after_event,true
mfe_20d_after_event,true
mae_20d_after_event,true
mfe_60d_after_event,true
mae_60d_after_event,true
mfe_120d_after_event,true
mae_120d_after_event,true
relative_strength_vs_kospi,true
relative_strength_vs_sector,true
market_wide_shock_flag,true
daily_limit_flag,true
volume_spike_flag,true
contract_or_budget_confirmed,true
government_order_flag,true
exploration_result_flag,true
commerciality_confirmed_flag,true
guidance_raised_flag,true
op_revision_after_event,true
eps_revision_after_event,true
policy_reversal_risk,true
drill_bit_gate,true
resource_success_probability,true
funding_withdrawal_flag,true
market_structure_event_flag,true
short_selling_resumption_flag,true
political_risk_flag,true
geopolitical_energy_shock_flag,true
disclosure_confidence,true
valuation_at_stage2,true
valuation_at_stage4b,true
