target_id,stage1,stage2,stage3,stage4b,stage4c,red_flags,loop11_penalty_axes,gate_only,production_scoring_changed
AGRI_MACHINERY_EXPORT_CYCLE_KOREA,agri_machinery_export|north_america_compact_tractor|autonomous_tractor_narrative,export_sales|dealer_network|kioti_or_branson_brand|parts_service_option,export_sales_growth|opm_fcf_improvement|dealer_inventory_stable|parts_service_repeat_revenue|farmer_financing_cost_stable,agri_robot_theme_priced_before_sales|tractor_export_theme_crowding,north_america_tractor_demand_slowdown|dealer_inventory_increase|grain_price_or_farm_income_weakness|financing_cost_delay,dealer_inventory_increase|farm_income_weakness|financing_cost_delay,dealer_inventory|farmer_capex_cycle|opm_fcf_backfill,false,false
AGRI_MACHINERY_AUTONOMOUS_ROBOT_OPTION,autonomous_tractor|agricultural_robot|smart_agri_option,commercial_launch|paid_order|dealer_support|service_attach,recurring_software_or_service_revenue|farmer_roi_verified|op_eps_conversion,robot_option_priced_before_revenue,commercial_sales_missing|farmer_roi_missing|right_to_repair_or_service_backlash,commercial_sales_missing|farmer_roi_missing|service_backlash,commercialization|farmer_roi|service_attach,false,false
FERTILIZER_INPUT_PRICE_COST_KOREA,grain_price|fertilizer_price|food_security_narrative|supply_chain_shock,fertilizer_price_pass_through|government_procurement|product_mix_improvement,price_pass_through|volume_maintained|energy_raw_material_cost_stable|opm_fcf_improvement|farmer_roi_maintained,fertilizer_theme_crowding|food_security_basket_rally,grain_price_decline|farmer_purchase_delay|ammonia_urea_energy_cost_spike|inventory_loss,input_cost_spike|farmer_margin_risk|volume_missing|inventory_loss,input_cost|farmer_margin|volume|inventory,false,false
LIVESTOCK_DISEASE_PRICE_EVENT_KOREA,bird_flu|asf|broiler_price|egg_price|culling|substitution_demand,selling_price_increase|shipment_volume|feed_price_pass_through,normally_green_blocked_unless_recurring_non_disease_fcf,disease_news_1d_20pct|livestock_basket_rally,disease_normalization|livestock_price_decline|feed_cost_rise|consumer_or_antitrust_backlash,disease_normalization|price_normalization|feed_cost_rise|antitrust_or_price_investigation,one_off_disease|price_normalization|feed_cost|consumer_backlash,true,false
FEED_GRAIN_COST_PASS_THROUGH,grain_price_move|feed_cost_move|livestock_price_link,feed_price_pass_through|volume_stable|customer_contract_or_channel,feed_cost_pass_through|opm_fcf_improvement|receivables_inventory_stable,feed_theme_basket_rally,grain_cost_spike_not_passed_through|livestock_demand_drop|margin_squeeze,cost_not_passed_through|demand_drop|margin_squeeze,grain_cost|pass_through|volume|receivables,false,false
TUNA_FISHERY_GLOBAL_BRAND_LEGAL_RISK,tuna_price|fishery_fleet|starkist_brand_cashflow,global_tuna_brand|us_retail_channel|food_staple_recurring,brand_opm|fuel_fx_stable|legal_cost_normalized|fcf_improvement,brand_asset_priced_before_legal_risk,price_fixing_settlement|legal_reserve|fuel_cost_spike|fishery_quota_risk,legal_settlement|price_fixing|fuel_cost|quota,legal|fuel|quota|fx,false,false
CONSUMER_REGULATED_PRODUCT_KOREA,tobacco_cash_cow|ginseng_health_option|regulated_consumer_repeat,recurring_consumption|cash_flow_stability|shareholder_return,opm_fcf_maintained|ngp_or_core_revenue_growth|tax_regulatory_risk_contained|public_health_gate_passed,regulated_consumer_defensive_premium,public_health_regulation|tax_increase|youth_safety_controversy|advertising_or_flavor_restriction,public_health_regulation|tax_increase|youth_safety|advertising_restriction,public_health|tax|youth_safety|regulatory_scope,false,false
HEATED_TOBACCO_GLOBAL_DISTRIBUTION,heated_tobacco_growth|lil_iqos_portfolio|global_distribution_option,pmi_ktng_distribution|overseas_sales|regulated_channel,ngp_overseas_revenue_growth|opm_fcf_maintained|regulatory_stability|youth_safety_limited,smoke_free_product_premium_before_sales,reduced_risk_claim_denied|public_health_warning|youth_safety_controversy|tax_or_display_restriction,public_health_warning|youth_safety|tax_or_display_restriction,public_health|ngp_sales|regulatory_scope|youth_safety,false,false
EDUCATION_POLICY_EVENT_KOREA,medical_quota_policy|exam_prep_demand|private_education_narrative,policy_confirmed|enrollment_growth|medical_track_revenue|op_eps_revision,repeat_enrollment|paid_conversion|cac_stable|opm_fcf_improvement|policy_uncertainty_lower,medical_quota_theme_rally|education_basket_crowding,policy_freeze_or_reversal|doctor_strike_policy_uncertainty|low_birth_rate|ai_tutor_substitution,policy_reversal|low_birth_rate|ai_substitution|opm_missing,policy_reversal|student_count|ai_tutor|cac,false,false
EDTECH_AI_DISRUPTION_KOREA,ai_tutor|ai_problem_solving|personalized_learning,paid_conversion|b2b_or_b2g_contract|repeat_subscription,not_green_without_paid_repeat_opm,ai_education_theme_priced_before_bookings,ai_substitutes_core_service|tuition_price_pressure|cac_rise|content_commoditization,ai_substitution|price_pressure|cac_rise|content_commoditization,cannibalization|cac|paid_conversion|bookings,true,false
KIDS_IP_PLATFORM_KOREA,baby_shark_viral|kids_ip_global_narrative|affiliate_value_expectation,ipo_price_path|ip_revenue|operating_profit|licensing_merchandise_apps_live_tour,multi_ip_revenue|bebefinn_or_new_ip_scale|opm_fcf_maintained|post_ipo_guidance_met,ipo_pop|one_hit_valuation|affiliate_price_event,one_hit_ip_revenue_slowdown|post_ipo_guidance_miss|ip_dependency_high,one_hit_dependency|ipo_premium|guidance_miss,one_hit|ipo_premium|direct_earnings_link|guidance,false,false
SMART_FARM_UNIT_ECONOMICS_KOREA,smart_farm_policy|greenhouse_order_news|agri_tech_narrative,actual_order|contract_amount|customer_or_government_budget|operating_yield_visible,unit_economics_verified|opm_fcf_positive|repeat_order|energy_cost_controlled,smart_farm_theme_priced_before_unit_economics,unit_economics_failure|energy_cost_spike|capex_burden|dilution_or_cash_burn,unit_economics_failure|energy_cost|capex_burden|cash_burn,unit_economics|energy_cost|capex|cash_runway,false,false
SERVICE_KIOSK_LOCAL_REGULATION_KOREA,kiosk_theme|self_checkout_unmanned_store|labor_cost_narrative,installed_base|maintenance_fee|transaction_fee|recurring_service_contract,maintenance_or_fee_revenue|opm_fcf_improvement|regulatory_accessibility_compliance,unmanned_store_theme_rally,local_regulation|accessibility_rule_cost|security_or_payment_issue|merchant_demand_slowdown,local_regulation|accessibility_cost|security_issue|demand_slowdown,maintenance_revenue|fee_revenue|local_regulation|security,false,false
DISCLOSURE_CONFIDENCE_CAP,theme_headline|disease_or_policy_headline|ip_or_ai_headline,detail_fetch_required|contract_or_unit_economics_detail_required|regulatory_scope_required,multi_source_confirmation|repeat_revenue_or_opm_detail|parser_confidence_sufficient,headline_priced_before_detail,contract_detail_missing|repeat_revenue_missing|unit_economics_missing|regulatory_scope_missing|opm_fcf_missing,detail_missing|parser_confidence_low|opm_fcf_missing,disclosure|detail|unit_economics|parser_confidence,false,false
