large_sector,korean_name,description,base_theme_archetype_count,deep_sub_archetype_count,combined_view_count,deep_sub_archetypes
INDUSTRIAL_ORDERS_INFRA,산업재·수주·인프라,"전력설비, 전선, 방산, 조선, 건설기계, 피팅밸브, 원전, 철도",5,6,11,GRID_TRANSFORMER_SHORTAGE|DEFENSE_TECH_AUTONOMOUS_SYSTEMS|DEFENSE_DRONE_COUNTER_UAS|DEFENSE_AI_SOFTWARE_INTELLIGENCE|RAIL_INFRASTRUCTURE|NUCLEAR_SMR_GRID_POLICY_CONTRACT
AI_SEMICONDUCTOR_ELECTRONICS,AI·반도체·전자부품,"HBM, CXL, 시스템반도체, PCB, OLED, MLCC, 유리기판, 클린룸, 스마트폰 부품",4,9,13,MEMORY_HBM_CAPACITY_EXTENSION|AI_SERVER_ODM_EMS_SUPPLY_CHAIN|NEOCLOUD_GPU_RENTAL|ADVANCED_PACKAGING_COWOS_EMIB|SEMI_EQUIPMENT_AI_CAPEX|OPTICAL_NETWORKING_AI_DATACENTER|INDUSTRIAL_GASES_SEMICONDUCTOR_INFRA|AI_DATA_CENTER_POWER_EQUIPMENT|AI_DATA_CENTER_COOLING
BATTERY_EV_GREEN,2차전지·전기차·친환경,"2차전지 소재/부품/장비, 전고체, 폐배터리, 전기차 인프라, 수소, 태양광, 풍력",3,5,8,POWER_SEMICONDUCTOR_SIC|LITHIUM_BATTERY_RAW_MATERIAL|RECYCLING_BATTERY_MATERIAL|SOLID_STATE_BATTERY_PRE_COMMERCIAL|CARBON_CREDIT_POLICY
MATERIALS_SPREAD_STRATEGIC,소재·스프레드·전략자원,"화학, 정유, 철강, 비철금속, 리튬, 희토류, 구리, 금은, 페라이트",5,3,8,CHEMICAL_SPREAD_CHINA_OVERSUPPLY|PRECIOUS_METALS_SAFE_HAVEN_MINERS|LNG_ENERGY_TRADING
CONSUMER_RETAIL_BRAND,소비재·유통·브랜드,"편의점, 홈쇼핑, 라면, K푸드, 음식료, 화장품, 의류, 건강기능식품",6,4,10,K_FOOD_EXPORT_RECURRING|K_BEAUTY_EXPORT_CHANNEL|COLD_CHAIN_REIT_LOGISTICS|SERVICE_KIOSK_SELF_CHECKOUT
FINANCIAL_CAPITAL_DIGITAL,금융·자본배분·디지털금융,"은행, 보험, 증권, 금융지주, 고배당, 밸류업, 결제, STO, 스테이블코인",6,2,8,VALUE_UP_BANK_INSURANCE|DIGITAL_ASSET_TOKENIZATION
BIOTECH_HEALTHCARE_DEVICE,바이오·헬스케어·의료기기,"CMO, CRO, 바이오시밀러, 임상, 의료AI, 미용기기, 보톡스, 임플란트, 진단",7,4,11,CRO_CLINICAL_SERVICE|DIGITAL_HEALTHCARE_AI|TELEHEALTH_BEHAVIORAL_HEALTH|GENE_THERAPY_RARE_DISEASE
PLATFORM_CONTENT_SW_SECURITY,플랫폼·콘텐츠·SW·보안,"게임, 엔터, 미디어, 클라우드, AI, IT보안, 딥페이크, 메타버스, NFT",6,3,9,CLOUD_AI_SOFTWARE_INFRA|SECURITY_IDENTITY_DEEPFAKE|CONTACT_CENTER_AI_AUTOMATION
MOBILITY_TRANSPORT_LEISURE,모빌리티·운송·레저,"항공, 해운, 택배, 렌터카, 중고차, 여행, 카지노, 면세, 골프",7,2,9,SATELLITE_CONNECTIVITY_INFRA|SHIPPING_FREIGHT_CYCLE_RECHECK
CONSTRUCTION_REAL_ESTATE_MATERIALS,건설·부동산·건자재,"대형/중소형 건설, 리츠, 개발신탁, 건자재, 시멘트, 철근, 가구",5,1,6,DATA_CENTER_REIT_INFRA
POLICY_GEOPOLITICAL_EVENT,정책·지정학·재난·이벤트,"남북경협, 우크라 재건, 네옴시티, 세종시, 지진, 폭염, 황사, 전염병",6,1,7,EVENT_DISEASE_PEST_DEMAND
EDUCATION_LIFE_AGRI_MISC,교육·생활서비스·농수축산,"교육, 취업, 키즈, 유아용품, 스마트팜, 농기계, 양돈, 육계, 배합사료, 참치",5,1,6,SMART_FARM_AUTOMATION
