field,required_for_round41_backfill
case_id,true
symbol,true
company_name,true
primary_archetype,true
secondary_archetypes,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_price,true
stage2_price,true
stage3_price,true
stage4b_price,true
stage4c_price,true
peak_price,true
MFE_30D,true
MFE_90D,true
MFE_180D,true
MFE_1Y,true
MFE_2Y,true
MAE_30D,true
MAE_90D,true
MAE_180D,true
MAE_1Y,true
drawdown_after_peak,true
below_stage3_price_flag,true
op_revision_1q,true
op_revision_1y,true
eps_revision_1q,true
eps_revision_1y,true
backlog_growth,true
contract_amount_to_sales,true
contract_duration_months,true
margin_change,true
score_price_alignment,true
price_validation_status,true
