field,required_for_round94_backfill
case_id,true
symbol,true
company_name,true
primary_archetype,true
secondary_archetypes,true
stage1_date,true
stage2_date,true
stage3_date,true
stage4b_date,true
stage4c_date,true
stage1_price,true
stage2_price,true
stage3_price,true
stage4b_price,true
stage4c_price,true
peak_price,true
peak_date,true
MFE_30D,true
MFE_90D,true
MFE_180D,true
MFE_1Y,true
MFE_2Y,true
MAE_30D,true
MAE_90D,true
MAE_180D,true
MAE_1Y,true
drawdown_after_peak,true
below_stage2_price_flag,true
below_stage3_price_flag,true
hbm_revenue_share,true
hbm_capacity_growth,true
hbm_contract_duration,true
hbm_price_band_flag,true
prepayment_flag,true
customer_name,true
nvidia_supply_chain_flag,true
amd_supply_chain_flag,true
hbm4_shipping_flag,true
hbm4_yield_signal,true
qualification_status,true
volume_shipment_flag,true
customer_specific_base_die_flag,true
memory_spot_price_change,true
memory_contract_price_change,true
dram_nand_mix,true
nand_profit_growth,true
enterprise_ssd_revenue,true
ssd_price_change,true
commodity_memory_supply_rebound_flag,true
consumer_demand_destruction_flag,true
equipment_order_growth,true
equipment_backlog,true
customer_capex_growth,true
customer_forecast_duration_quarters,true
order_pushout_flag,true
export_control_flag,true
china_restriction_flag,true
packaging_revenue_growth,true
cowos_capacity_growth,true
cowos_l_flag,true
cowos_s_flag,true
emib_revenue_flag,true
interposer_supply_constraint_flag,true
yield_issue_flag,true
bottleneck_normalization_flag,true
pcb_lead_time_weeks,true
optical_transceiver_order,true
laser_supply_constraint_flag,true
hyperscaler_contract_flag,true
silicon_photonics_revenue,true
photonics_chip_contract_value,true
photonics_delivery_year,true
optical_networking_inventory_flag,true
ai_networking_orders,true
hyperscaler_order_value,true
data_center_switching_order_growth,true
ai_infrastructure_order_guidance,true
networking_restructuring_cost,true
legacy_networking_revenue_change,true
ai_server_revenue,true
ai_server_rack_shipments,true
ai_server_margin,true
consignment_model_flag,true
inventory_growth,true
customer_concentration,true
working_capital_pressure,true
gpu_cloud_revenue,true
gpu_cloud_contract_value,true
take_or_pay_flag,true
debt_to_ebitda,true
net_debt,true
fcf_margin,true
gpu_depreciation,true
refinancing_risk_flag,true
delivery_issue_flag,true
ipo_downsize_flag,true
circular_financing_flag,true
nvidia_capacity_guarantee_flag,true
openai_equity_stake_flag,true
cooling_revenue,true
liquid_cooling_order,true
mna_price,true
mna_multiple,true
mna_debt_financing_flag,true
eps_accretion_year,true
integration_risk_flag,true
ai_accelerator_revenue,true
ai_accelerator_customer_count,true
openai_customer_flag,true
aws_customer_flag,true
government_customer_flag,true
uae_revenue_concentration,true
gross_margin,true
software_ecosystem_score,true
repeat_order_flag,true
nvidia_competition_flag,true
ipo_first_day_return,true
ipo_valuation,true
cash_burn_flag,true
auditor_resignation_flag,true
filing_delay_flag,true
internal_control_issue_flag,true
regulatory_probe_flag,true
related_party_risk_flag,true
labor_strike_flag,true
production_disruption_flag,true
execution_risk_flag,true
foundry_yield_risk_flag,true
talent_retention_risk_flag,true
theme_only_flag,true
actual_revenue_flag,true
customer_validation_flag,true
tapeout_flag,true
mass_production_flag,true
direct_equity_exposure_flag,true
opendart_rcept_no,true
opendart_detail_fetched_flag,true
disclosure_confidence_score,true
detail_parser_confidence,true
disclosure_signal_class,true
routine_disclosure_flag,true
risk_disclosure_flag,true
high_signal_disclosure_flag,true
score_price_alignment,true
price_validation_status,true
review_notes,true
